,Suite,Tempo do Imóvel,academia,area_total,area_util,bairro,banheiros,churrasqueira,condominio,elevador,iptu,piscina,preco,quartos,salao_festa,tipo,vagas,Bairro
77,,,0,174,,Santa Paula,2,1,500.0,1,,1,990000,3,0,2,2,
78,,,0,65,,Boa Vista,2,1,520.0,1,,1,365000,2,1,2,2,
79,,,0,90,,Olímpico,2,1,150.0,1,,1,850000,2,0,2,2,
80,,,0,90,,Santa Paula,1,0,511.0,1,,0,650000,3,0,2,1,
81,,,0,180,,Santa Paula,2,1,515.0,1,,1,1200000,3,1,2,2,
82,,,0,67,,Santa Maria,1,1,508.0,1,,1,240000,3,1,2,1,
83,,,1,65,,Barcelona,2,0,550.0,1,,0,435000,2,1,2,2,
84,,,0,70,,Olímpico,1,1,1.0,1,,1,395000,2,1,2,1,
85,,,0,75,,Santa Maria,2,0,600.0,1,,0,460000,2,0,2,2,
86,,,0,160,,Santa Maria,1,1,385.0,1,,1,7499000,3,1,2,1,
87,,,0,84,,Santa Paula,2,1,561.0,1,,1,750000,3,1,2,2,
88,,,1,140,,Nova Gerty,2,1,14.0,1,,0,500000,2,1,2,2,
89,,,0,56,,Cerâmica, -- ,0,775.0,1,,1,459000,2,1,2, -- ,
90,,,0,68,,Cerâmica,1,1,450.0,1,,1,720000,2,1,2,1,
91,,,1,64,,Santa Maria,1,1,878.0,0,,0,390000,2,0,2,1,
92,,,0,65,,Cerâmica,3,1,738.0,1,,1,430000,2,1,2,3,
93,,,1,80,,Jardim Sao Caetano,1,0,395.0,1,,0,495000,3,1,2,1,
94,,,0,264,,Olímpico,3,1,410.0,1,,1,1980000,3,1,2,3,
95,,,1,113,,Santo Antônio,3,0,447.0,0,,1,1130000,2,1,2,3,
96,,,0,61,,Fundação,2,1,482.0,1,,1,331000,2,1,2,2,
97,,,1,90,,Cerâmica,1,1,478.0,1,,0,990000,2,1,2,1,
98,,,0,106,,Santa Paula,2,1,105.0,1,,1,550000,3,1,2,2,
99,,,0,68,,Cerâmica,1,0,351.0,0,,0,6498000,2,0,2,1,
100,,,1,68,,Barcelona,1,0,568.0,0,,1,450000,2,1,2,1,
101,,,1,67,,Barcelona,1,1,430.0,0,,1,455000,2,1,2,1,
102,,,0,88,,Barcelona,1,0,535.0,1,,0,450000,3,1,2,1,
103,,,0,62,,Santo Antônio,2,1,105.0,1,,1,475000,2,1,2,2,
104,,,0,79,,Mauá,2,0,500.0,1,,0,495000,3,1,2,2,
105,,,0,150,,Centro,3,1,520.0,1,,1,630000,4,1,2,3,
106,,,1,61,,Osvaldo Cruz,3,1,150.0,1,,0,510000,2,1,2,3,
107,,,0,76,,Santa Maria,1,1,511.0,1,,1,4199000,2,0,2,1,
108,,,0,79,,Boa Vista,3,1,515.0,1,,1,700000,3,1,2,3,
109,,,0,55,,Olímpico,2,1,508.0,1,,0,2969000,2,1,2,2,
110,,,0,174,,Santa Paula,3,1,550.0,1,,1,990000,3,0,2,3,
111,,,0,65,,Boa Vista,3,0,1.0,1,,0,365000,2,0,2,3,
112,,,0,90,,Olímpico,3,1,600.0,1,,1,850000,2,1,2,3,
113,,,1,90,,Santa Paula,3,0,385.0,1,,0,650000,3,1,2,3,
114,,,0,180,,Santa Paula,1,1,561.0,1,,1,1200000,3,1,2,1,
115,,,0,67,,Santa Maria,2,1,14.0,1,,1,240000,3,1,2,2,
116,,,0,65,,Barcelona,2,0,775.0,1,,0,435000,2,0,2,2,
117,,,0,70,,Olímpico,2,1,450.0,1,,1,395000,2,1,2,2,
118,,,1,75,,Santa Maria,2,1,738.0,1,,0,460000,2,1,2,2,
119,,,0,160,,Santa Maria,1,0,395.0,1,,1,7499000,3,1,2,1,
120,,,0,84,,Santa Paula,2,1,410.0,1,,1,750000,3,1,2,2,
121,,,1,140,,Nova Gerty,1,1,447.0,0,,0,500000,2,0,2,1,
122,,,0,56,,Cerâmica,2,1,482.0,1,,1,459000,2,1,2,2,
123,,,1,68,,Cerâmica,2,0,478.0,1,,0,720000,2,1,2,2,
124,,,0,64,,Santa Maria,2,1,105.0,1,,1,390000,2,1,2,2,
125,,,1,65,,Cerâmica,2,0,351.0,0,,1,430000,2,1,2,2,
126,,,0,80,,Jardim Sao Caetano,2,1,568.0,1,,1,495000,3,1,2,2,
127,,,1,264,,Olímpico,2,1,430.0,1,,0,1980000,3,1,2,2,
128,,,0,113,,Santo Antônio,1,1,535.0,1,,1,1130000,2,1,2,1,
129,,,0,61,,Fundação,2,0,105.0,0,,0,331000,2,0,2,2,
130,,,1,90,,Cerâmica,1,0,500.0,0,,1,990000,2,1,2,1,
131,,,1,106,,Santa Paula,3,1,520.0,0,,1,550000,3,1,2,3,
132,,,0,68,,Cerâmica,2,0,19.0,1,,0,6498000,2,1,2,2,
133,,,0,68,,Barcelona,3,1,150.0,1,,1,450000,2,1,2,3,
134,,,0,67,,Barcelona,3,0,511.0,1,,0,455000,2,1,2,3,
135,,,0,88,,Barcelona,3,1,515.0,1,,1,450000,3,1,2,3,
136,,,1,62,,Santo Antônio,1,1,508.0,1,,0,475000,2,1,2,1,
137,,,1,79,,Mauá,2,1,550.0,1,,0,495000,3,1,2,2,
138,,,0,150,,Centro,2,1,1.0,1,,1,630000,4,0,2,2,
