area_total,quartos,banheiros,vagas,academia,churrasqueira,elevador,salao_festa,piscina,condominio,bairro_Barcelona,bairro_Boa_Vista,bairro_Centro,bairro_Ceramica,bairro_Fundacao,bairro_Jardim_Sao_Caetano,bairro_Maua,bairro_Nova_Gerty,bairro_Olimpico,bairro_Osvaldo_Cruz,bairro_Santa_Maria,bairro_Santa_Paula,bairro_Santo_Antonio,preco
-0.61291719864967,0.6666666666666667,0.2,0.2,0,0,0,0,0,0.3196442469073789,0,0,0,0,0,0,0,0,0,0,1,0,0,240000
-0.61291719864967,0.6666666666666667,0.0,0.0,0,1,1,1,1,0.3554540677541026,0,0,0,0,0,0,0,0,0,0,1,0,0,240000
-0.61291719864967,0.6666666666666667,0.2,0.2,0,0,1,1,1,-0.15035965170586915,0,0,0,0,0,0,0,0,0,0,1,0,0,240000
-0.61291719864967,0.6666666666666667,0.0,0.0,1,1,1,1,0,0.3196442469073789,0,0,0,0,0,0,0,0,0,0,1,0,0,240000
-0.61291719864967,0.6666666666666667,0.2,0.2,1,0,1,1,0,0.5434556271994018,0,0,0,0,0,0,0,0,0,0,1,0,0,240000
-0.61291719864967,0.6666666666666667,0.2,0.2,1,1,0,1,1,2.011658281915072,0,0,0,0,0,0,0,0,0,0,1,0,0,240000
-0.61291719864967,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,1,1,1,1,2.011658281915072,0,0,0,0,0,0,0,0,0,0,1,0,0,240000
-0.61291719864967,0.6666666666666667,0.0,0.0,0,1,1,1,1,2.011658281915072,0,0,0,0,0,0,0,0,0,0,1,0,0,240000
-0.61291719864967,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,1,1,1,1,0.22116723957888884,0,0,0,0,0,0,0,0,0,0,1,0,0,240000
-0.61291719864967,0.6666666666666667,0.0,0.0,0,1,1,1,1,-1.8334212315018807,0,0,0,0,0,0,0,0,0,0,1,0,0,240000
-0.61291719864967,0.6666666666666667,0.2,0.2,0,1,1,0,1,0.36888275057162395,0,0,0,0,0,0,0,0,0,0,1,0,0,240000
-0.61291719864967,0.6666666666666667,0.2,0.2,1,1,1,1,0,-0.15035965170586915,0,0,0,0,0,0,0,0,0,0,1,0,0,240000
-0.61291719864967,0.6666666666666667,0.2,0.2,0,1,1,0,1,0.6240277241045301,0,0,0,0,0,0,0,0,0,0,1,0,0,240000
-0.61291719864967,0.6666666666666667,0.2,0.2,0,1,1,1,0,0.4091687990241881,0,0,0,0,0,0,0,0,0,0,1,0,0,240000
-0.61291719864967,0.6666666666666667,0.2,0.2,0,0,1,1,0,0.5434556271994018,0,0,0,0,0,0,0,0,0,0,1,0,0,240000
-0.61291719864967,0.6666666666666667,1.0000000000000002,1.0000000000000002,0,1,1,1,1,-0.08321623761826229,0,0,0,0,0,0,0,0,0,0,1,0,0,240000
-0.61291719864967,0.6666666666666667,0.0,0.0,0,1,1,0,1,-0.08321623761826229,0,0,0,0,0,0,0,0,0,0,1,0,0,240000
