bairro,area_total,quartos,banheiros,vagas,academia,churrasqueira,elevador,salao_festa,piscina,condominio,preco
Santa Maria,67,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,0,1,1,0,150.0,240000
Santa Maria,67,0.6666666666666667,0.2,0.2,0,0,1,1,0,500.0,240000
Santa Maria,67,0.6666666666666667,0.0,0.0,0,1,1,1,1,515.0,240000
Santa Maria,67,0.6666666666666667,0.0,0.0,0,1,1,1,1,1.0,240000
Santa Maria,67,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,0,1,1,0,600.0,240000
Santa Maria,67,0.6666666666666667,0.0,0.0,0,0,0,0,0,600.0,240000
Santa Maria,67,0.6666666666666667,0.0,0.0,0,1,1,1,1,500.0,240000
Santa Maria,67,0.6666666666666667,0.2,0.2,0,0,0,0,0,500.0,240000
Santa Maria,67,0.6666666666666667,0.0,0.0,0,1,1,1,1,508.0,240000
Santa Maria,67,0.6666666666666667,0.2,0.2,0,0,1,1,1,395.0,240000
Santa Maria,67,0.6666666666666667,0.0,0.0,1,1,1,1,0,500.0,240000
Santa Maria,67,0.6666666666666667,0.2,0.2,1,0,1,1,0,550.0,240000
Santa Maria,67,0.6666666666666667,0.2,0.2,1,1,0,1,1,878.0,240000
Santa Maria,67,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,1,1,1,1,878.0,240000
Santa Maria,67,0.6666666666666667,0.0,0.0,0,1,1,1,1,878.0,240000
Santa Maria,67,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,1,1,1,1,478.0,240000
Santa Maria,67,0.6666666666666667,0.0,0.0,0,1,1,1,1,19.0,240000
Santa Maria,67,0.6666666666666667,0.2,0.2,0,1,1,0,1,511.0,240000
Santa Maria,67,0.6666666666666667,0.2,0.2,1,1,1,1,0,395.0,240000
Santa Maria,67,0.6666666666666667,0.2,0.2,0,1,1,0,1,568.0,240000
Santa Maria,67,0.6666666666666667,0.2,0.2,0,1,1,1,0,520.0,240000
Santa Maria,67,0.6666666666666667,0.2,0.2,0,0,1,1,0,550.0,240000
Santa Maria,67,0.6666666666666667,1.0000000000000002,1.0000000000000002,0,1,1,1,1,410.0,240000
Santa Maria,67,0.6666666666666667,0.0,0.0,0,1,1,0,1,410.0,240000
Santa Maria,67,0.6666666666666667,0.2,0.2,1,1,1,1,0,410.0,240000
Santa Maria,67,0.6666666666666667,0.2,0.2,0,1,1,1,1,14.0,240000
Santa Maria,67,0.6666666666666667,0.2,0.2,0,1,1,1,1,450.0,240000
Santa Maria,67,0.6666666666666667,0.4000000000000001,0.4000000000000001,1,0,1,1,0,500.0,240000
Santa Maria,67,0.6666666666666667,0.2,0.2,0,1,1,0,1,300.0,240000
Nova Gerty,40,0.0,1.0000000000000002,1.0000000000000002,0,0,0,0,0,568.0,319000
Nova Gerty,40,0.0,0.0,0.0,0,0,1,1,1,535.0,319000
Nova Gerty,40,0.0,0.0,0.0,0,1,1,1,1,14.0,319000
Nova Gerty,40,0.0,0.2,0.2,1,1,0,1,1,351.0,319000
Nova Gerty,40,0.0,0.0,0.0,1,0,0,1,1,568.0,319000
Nova Gerty,40,0.0,0.2,0.2,0,0,1,0,0,738.0,319000
Nova Gerty,40,0.0,0.2,0.2,1,1,1,1,0,500.0,319000
Nova Gerty,40,0.0,0.2,0.2,0,0,1,0,0,150.0,319000
Nova Gerty,40,0.0,0.2,0.2,1,1,0,1,1,1.0,319000
Nova Gerty,40,0.0,0.4000000000000001,0.4000000000000001,0,1,1,1,1,447.0,319000
Nova Gerty,40,0.0,0.2,0.2,0,1,1,1,1,478.0,319000
Nova Gerty,40,0.0,0.2,0.2,0,1,1,1,1,450.0,319000
Nova Gerty,40,0.0,0.0,0.0,0,0,1,0,0,561.0,319000
Nova Gerty,40,0.0,0.0,0.0,0,1,1,1,1,105.0,319000
Nova Gerty,40,0.0,0.6000000000000001,0.6000000000000001,0,1,1,1,1,568.0,319000
Nova Gerty,40,0.0,0.2,0.2,0,0,0,0,0,300.0,319000
Nova Gerty,40,0.0,0.2,0.2,1,1,0,1,1,775.0,319000
Nova Gerty,40,0.0,0.2,0.2,1,0,0,1,1,105.0,319000
Nova Gerty,40,0.0,0.2,0.2,0,1,1,1,1,395.0,319000
Nova Gerty,40,0.0,0.0,0.0,1,1,0,0,0,14.0,319000
Nova Gerty,40,0.0,0.2,0.2,1,1,1,1,0,520.0,319000
Nova Gerty,40,0.0,0.0,0.0,0,0,1,1,0,150.0,319000
Nova Gerty,40,0.0,0.2,0.2,0,1,1,1,1,351.0,319000
Nova Gerty,40,0.0,0.0,0.0,0,0,1,1,0,600.0,319000
Nova Gerty,40,0.0,0.4000000000000001,0.4000000000000001,0,1,1,1,0,14.0,319000
Nova Gerty,40,0.0,0.8,0.8,0,1,1,1,1,511.0,319000
Nova Gerty,40,0.0,0.0,0.0,1,1,1,1,0,600.0,319000
Nova Gerty,40,0.0,0.2,0.2,0,0,0,0,0,738.0,319000
Nova Gerty,40,0.0,0.2,0.2,1,0,1,1,0,150.0,319000
Nova Gerty,40,0.0,0.2,0.2,1,0,1,1,0,515.0,319000
Nova Gerty,40,0.0,0.4000000000000001,0.4000000000000001,0,0,1,0,0,447.0,319000
Nova Gerty,40,0.0,0.0,0.0,0,1,1,0,1,430.0,319000
Nova Gerty,40,0.0,0.2,0.2,0,1,1,1,1,105.0,319000
Nova Gerty,40,0.0,0.4000000000000001,0.4000000000000001,0,1,1,1,1,535.0,319000
Nova Gerty,40,0.0,0.2,0.2,0,1,1,1,1,410.0,319000
Nova Gerty,40,0.0,0.2,0.2,0,0,1,1,0,430.0,319000
Nova Gerty,40,0.0,0.4000000000000001,0.4000000000000001,1,0,1,1,0,19.0,319000
Nova Gerty,40,0.0,0.0,0.0,0,0,1,1,1,385.0,319000
Nova Gerty,40,0.0,0.0,0.0,0,0,1,0,0,1.0,319000
