bairro,area_total,quartos,banheiros,vagas,academia,churrasqueira,elevador,salao_festa,piscina,condominio,preco
Olimpico,0.40681159393704347,0.6666666666666667,0.0,0.2,0,0,0,0,0,0.44050239226507126,550
Santa Maria,-0.61291719864967,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,1,1,1,1,-1.8558023695310835,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,1,1,1,1,0,0.40916879902418807,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,1,1,1,1,0.5926941308636469,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,1,1,1,1,0.5926941308636469,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,0,1,0,0,0.09583286661535603,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,1,0,1,1,0,0.09583286661535603,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,0,1,1,1,1,1.5506068385135048,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,1,1,1,1,0,0.5434556271994018,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,0,0,1,1,1,-0.34731366636284927,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,0,0,1,1,0,-1.448465657399602,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,0,1,0,0,1.5506068385135048,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,0,1,1,1,1,0.3196442469073789,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,0,0,0,0,-0.08321623761826229,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,0,1,1,1,1.5506068385135048,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,1,1,1,1,0.40916879902418807,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,0,0,0,0,2.011658281915072,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,1,0,1,1,0,1.3849864170974078,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.8,0.8,1,0,0,1,1,-1.448465657399602,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.8,0.8,0,0,1,0,0,0.09583286661535603,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,0,0,0,0,0.3867876609949858,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.6000000000000001,0.6000000000000001,0,0,0,0,0,-1.8334212315018812,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,1,1,0,1,1,0.3554540677541026,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,0,1,1,0,-0.34731366636284927,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,1,1,1,1,-0.34731366636284927,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,0,0,1,1,1,1.5506068385135048,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,0,0,1,0,0,-1.8334212315018812,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,0,1,1,1,1,2.011658281915072,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,1,1,1,1,0.62402772410453,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,0,1,1,1,1,-1.9139933284070094,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,1,1,1,1,-0.19512192776427373,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,0,1,0,0,-1.448465657399602,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,0,1,1,0,0.3867876609949858,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,1,1,1,1,0,0.7672670074914247,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,0,1,1,1,1,0.22116723957888884,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,0,1,1,1,1,0.47631221311179495,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,0,1,1,0,1,2.011658281915072,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,0,1,1,0,2.011658281915072,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,1,1,1,1,-0.34731366636284927,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,1,1,1,1,0.40916879902418807,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.4000000000000001,0.4000000000000001,1,1,1,1,0,0.40916879902418807,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,1,1,0,1,0.3196442469073789,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,0,1,1,0,-0.15035965170586915,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,0,0,1,1,0,-0.08321623761826229,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,1,1,1,1,-0.5756012742607126,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.4000000000000001,0.4000000000000001,1,0,1,1,0,0.3867876609949858,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,0,0,0,0,0,0.5434556271994018,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,1,1,1,1,0,-0.34731366636284927,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,1,0,1,1,0,0.006308314498546871,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,1,1,1,0,0.3554540677541026,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,1,0,0,1,1,0.09583286661535603,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.6000000000000001,0.6000000000000001,0,1,1,1,1,1.572987976542707,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,0,0,1,1,0,0.006308314498546871,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.4000000000000001,0.4000000000000001,1,0,1,1,0,-0.34731366636284927,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,1,1,1,1,0.36888275057162395,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,0,1,0,0,-0.19512192776427373,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.6000000000000001,0.6000000000000001,0,1,1,1,1,-1.448465657399602,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,1,0,1,1,0,-1.448465657399602,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,1,1,1,1,0,0.09583286661535603,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,0,1,1,1,1,1.3849864170974078,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,0,0,0,0,-1.8558023695310835,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,1,1,0,1,0.09583286661535603,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,1,1,0,1,1,-0.08321623761826229,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,0,1,1,1,0.09583286661535603,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,1,1,0,1,0.47631221311179495,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,1,1,1,1,0,-1.9139933284070094,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,0,1,1,1,1,0.08240418379783465,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,1,1,0,1,-1.8558023695310835,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,0,1,1,0,-0.19512192776427373,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,0,0,1,0,0,-0.15035965170586915,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,1,1,1,1,0.006308314498546871,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,1,1,1,1,0.47631221311179495,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,1,1,0,1,1,0.5434556271994018,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,0,0,1,0,0,-1.2470354151367813,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,1,1,1,1,-1.2470354151367813,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,0,1,1,1,1,-1.2470354151367813,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,1,1,0,1,2.011658281915072,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,0,1,1,0,1,-0.19512192776427373,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,0,1,1,1,1,-0.08321623761826229,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,1,1,0,1,-1.448465657399602,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,1,1,0,1,-1.8334212315018812,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,1,1,1,1,1.3849864170974078,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,0,1,1,1,1,0.5926941308636469,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,0,0,0,0,1.3849864170974078,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,0,1,0,0,-1.8558023695310835,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.2,0.2,0,0,1,0,0,0.23907215000225068,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.4000000000000001,0.4000000000000001,0,1,1,1,1,-1.8334212315018812,240000
Santa Maria,-0.61291719864967,0.6666666666666667,0.0,0.0,0,1,1,1,1,0.22116723957888884,240000
