,tipo,bairro,area_total,quartos,banheiros,vagas,academia,churrasqueira,elevador,salao_festa,piscina,condominio,preco
88,2,Nova Gerty,140,2,2,2,1,1,1,1,0,14.0,500000
89,2,Cerâmica,56,2, -- , -- ,0,0,1,1,1,775.0,459000
90,2,Cerâmica,68,2,1,1,0,1,1,1,1,450.0,720000
91,2,Santa Maria,64,2,1,1,1,1,0,0,0,878.0,390000
92,2,Cerâmica,65,2,3,3,0,1,1,1,1,738.0,430000
93,2,Jardim Sao Caetano,80,3,1,1,1,0,1,1,0,395.0,495000
94,2,Olímpico,264,3,3,3,0,1,1,1,1,410.0,1980000
95,2,Santo Antônio,113,2,3,3,1,0,0,1,1,447.0,1130000
96,2,Fundação,61,2,2,2,0,1,1,1,1,482.0,331000
97,2,Cerâmica,90,2,1,1,1,1,1,1,0,478.0,990000
98,2,Santa Paula,106,3,2,2,0,1,1,1,1,105.0,550000
99,2,Cerâmica,68,2,1,1,0,0,0,0,0,351.0,6498000
100,2,Barcelona,68,2,1,1,1,0,0,1,1,568.0,450000
101,2,Barcelona,67,2,1,1,1,1,0,1,1,430.0,455000
102,2,Barcelona,88,3,1,1,0,0,1,1,0,535.0,450000
103,2,Santo Antônio,62,2,2,2,0,1,1,1,1,105.0,475000
104,2,Mauá,79,3,2,2,0,0,1,1,0,500.0,495000
105,2,Centro,150,4,3,3,0,1,1,1,1,520.0,630000
106,2,Osvaldo Cruz,61,2,3,3,1,1,1,1,0,150.0,510000
107,2,Santa Maria,76,2,1,1,0,1,1,0,1,511.0,4199000
108,2,Boa Vista,79,3,3,3,0,1,1,1,1,515.0,700000
109,2,Olímpico,55,2,2,2,0,1,1,1,0,508.0,2969000
110,2,Santa Paula,174,3,3,3,0,1,1,0,1,550.0,990000
111,2,Boa Vista,65,2,3,3,0,0,1,0,0,1.0,365000
112,2,Olímpico,90,2,3,3,0,1,1,1,1,600.0,850000
113,2,Santa Paula,90,3,3,3,1,0,1,1,0,385.0,650000
114,2,Santa Paula,180,3,1,1,0,1,1,1,1,561.0,1200000
115,2,Santa Maria,67,3,2,2,0,1,1,1,1,14.0,240000
116,2,Barcelona,65,2,2,2,0,0,1,0,0,775.0,435000
117,2,Olímpico,70,2,2,2,0,1,1,1,1,450.0,395000
118,2,Santa Maria,75,2,2,2,1,1,1,1,0,738.0,460000
119,2,Santa Maria,160,3,1,1,0,0,1,1,1,395.0,7499000
120,2,Santa Paula,84,3,2,2,0,1,1,1,1,410.0,750000
121,2,Nova Gerty,140,2,1,1,1,1,0,0,0,447.0,500000
122,2,Cerâmica,56,2,2,2,0,1,1,1,1,482.0,459000
123,2,Cerâmica,68,2,2,2,1,0,1,1,0,478.0,720000
124,2,Santa Maria,64,2,2,2,0,1,1,1,1,105.0,390000
125,2,Cerâmica,65,2,2,2,1,0,0,1,1,351.0,430000
126,2,Jardim Sao Caetano,80,3,2,2,0,1,1,1,1,568.0,495000
127,2,Olímpico,264,3,2,2,1,1,1,1,0,430.0,1980000
128,2,Santo Antônio,113,2,1,1,0,1,1,1,1,535.0,1130000
129,2,Fundação,61,2,2,2,0,0,0,0,0,105.0,331000
130,2,Cerâmica,90,2,1,1,1,0,0,1,1,500.0,990000
131,2,Santa Paula,106,3,3,3,1,1,0,1,1,520.0,550000
132,2,Cerâmica,68,2,2,2,0,0,1,1,0,19.0,6498000
133,2,Barcelona,68,2,3,3,0,1,1,1,1,150.0,450000
134,2,Barcelona,67,2,3,3,0,0,1,1,0,511.0,455000
